METRIC SCORES  —  synthetic_mcar_40pct
Evaluation: missing positions only  (1600/4000 = 40.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.858090          4.955411          0.892407          6.562908          3.167055     
RMSE             4.000000          3.792103          6.017439          1.135427          8.122953          3.521731     
MSE             16.000000         15.833166         40.352730          1.427704         70.352612         13.287715     
MRE              0.492483          0.082921          0.508069          0.095766          0.892773          0.428192     
SMAPE           31.632794          6.286510         37.703446          8.484600         47.801343         38.074457     
NRMSE            0.784754          0.667900          1.042527          0.213558          1.408927          0.608144     
ND               0.283952          0.064230          0.333746          0.062054          0.467309          0.229454     
WD               4.000000          0.706014          1.154937          0.646744          1.018063          3.167055     
JSD              0.208718          0.013730          0.027385          0.043769          0.022180          0.175321     
KLD              5.239256          0.040752          0.144706          1.398130          0.101332          0.628457     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.826296          0.445029          0.976777          0.012881          1.000000     
MI               1.532041          1.591727          0.934385          1.439021          0.519700          1.541579     
R2               0.242299          0.533078         -0.140298          0.946421         -0.990214          0.630096     
TOST             1.000000          0.308532          0.688051          0.007832          0.606369          0.422432     
BA (bias)       -4.000000          0.143030         -0.077060         -0.035611         -0.278200          0.169239     
BA (loa)         0.000000          7.432790         11.640664          2.228006         15.894788          6.857752     
CDT              0.779834          0.051387          0.171779          0.016108          0.150429          0.061722     
PFC              0.000000         95.000000         21.125000         74.312500         19.062500         23.812500     
