METRIC SCORES  —  synthetic_mcar_10pct
Evaluation: missing positions only  (400/4000 = 10.0%)  |  acf, dtw, smae: full series  |  crps, nll: n/a unless the algorithm output is probabilistic
========================================================================================================================
METRIC       constant_offset    random_spikes       time_shift       oversmoothed        shuffled      amplitude_scaled 
------------------------------------------------------------------------------------------------------------------------
MAE              4.000000          0.962814          4.913679          0.885671          6.285318          3.161309     
RMSE             4.000000          3.719747          5.988245          1.097692          7.867834          3.502881     
MSE             16.000000         17.627989         40.347540          1.337583         65.132942         13.012521     
MRE              0.435310          0.095552          0.456582          0.088523          0.616897          0.378055     
SMAPE           31.521327          7.084669         37.464266          8.060746         46.987672         39.069233     
NRMSE            0.800958          0.675501          1.093464          0.218485          1.450436          0.634728     
ND               0.293336          0.073587          0.347611          0.063999          0.458984          0.232962     
WD               4.000000          0.958941          1.773004          0.738875          2.009669          3.161309     
JSD              0.288311          0.019103          0.126174          0.113677          0.117323          0.248050     
KLD              8.352429          0.111106          3.024543          3.208259          2.911086          3.886813     
CRPS               n/a               n/a               n/a               n/a               n/a               n/a        
NLL                n/a               n/a               n/a               n/a               n/a               n/a        
ACF              0.000000          0.157933          0.082824          0.059684          0.496505          0.000000     
DTW             31.204339         50.562670         29.215617         10.444937         79.492518         35.303126     
SMAE             0.000000          0.016449          0.002686          0.004075          0.035094          0.000000     
PEARSON          1.000000          0.814867          0.440522          0.975714          0.035121          1.000000     
MI               1.596126          1.795886          1.236822          1.617322          1.135717          1.576712     
R2               0.241994          0.433595         -0.337543          0.940325         -1.155542          0.593681     
TOST             1.000000          0.539364          0.679094          0.155458          0.702575          0.631564     
BA (bias)       -4.000000         -0.104996         -0.042566         -0.049005         -0.176675          0.390777     
BA (loa)         0.000000          7.270111         11.524546          2.145931         15.195498          6.682671     
CDT              0.780677          0.125780          0.236432          0.046759          0.311748          0.124275     
PFC              0.000000         94.500000         24.250000         73.750000         18.500000         22.750000     
